Magnetic Coupling,CAN,Yes,2,1/1,Unidirectional,2500Vrms,25kV/µs,1Mbps,-,-,-,3.3V   5V,-40°C ~ 85°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Magnetic Coupling,General Purpose,No,2,2/0,Unidirectional,2500Vrms,25kV/µs,1Mbps,150ns   150ns,40ns,10ns   10ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Magnetic Coupling,General Purpose,No,2,2/0,Unidirectional,2500Vrms,25kV/µs,10Mbps,50ns   50ns,3ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Magnetic Coupling,General Purpose,No,2,1/1,Unidirectional,2500Vrms,25kV/µs,1Mbps,150ns   150ns,40ns,10ns   10ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Magnetic Coupling,General Purpose,No,2,1/1,Unidirectional,2500Vrms,25kV/µs,10Mbps,50ns   50ns,3ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Magnetic Coupling,I²C,No,2,2/2,Bidirectional,2500Vrms,25kV/µs,1Mbps,-,145ns   85ns,-,3 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Magnetic Coupling,General Purpose,No,3,2/1,Unidirectional,2500Vrms,25kV/µs,10Mbps,50ns   50ns,3ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,4/0,Unidirectional,2500Vrms,25kV/µs,1Mbps,100ns   100ns,40ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,4/0,Unidirectional,2500Vrms,25kV/µs,10Mbps,50ns   50ns,3ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,4/0,Unidirectional,2500Vrms,25kV/µs,90Mbps,32ns   32ns,2ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,3/1,Unidirectional,2500Vrms,25kV/µs,1Mbps,100ns   100ns,40ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,3/1,Unidirectional,2500Vrms,25kV/µs,10Mbps,50ns   50ns,3ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,3/1,Unidirectional,2500Vrms,25kV/µs,10Mbps,50ns   50ns,3ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,2/2,Unidirectional,2500Vrms,25kV/µs,1Mbps,100ns   100ns,40ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,2/2,Unidirectional,2500Vrms,25kV/µs,10Mbps,50ns   50ns,3ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,4/0,Unidirectional,3750Vrms,25kV/µs,10Mbps,50ns   50ns,5ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,3/1,Unidirectional,3750Vrms,25kV/µs,1Mbps,100ns   100ns,40ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,2/2,Unidirectional,3750Vrms,25kV/µs,1Mbps,100ns   100ns,40ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,3/1,Unidirectional,5000Vrms,25kV/µs,90Mbps,32ns   32ns,2ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,2/2,Unidirectional,5000Vrms,25kV/µs,10Mbps,50ns   50ns,3ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,General Purpose,No,4,2/2,Unidirectional,5000Vrms,25kV/µs,90Mbps,32ns   32ns,2ns,2.5ns   2.5ns,2.7 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Magnetic Coupling,SPI,No,7,5/2,Unidirectional,3750Vrms,25kV/µs,34Mbps,14ns   14ns,2ns,2.5ns   2.5ns,3 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Magnetic Coupling,General Purpose,No,2,1/1,Unidirectional,2500Vrms,25kV/µs,1Mbps,150ns   150ns,40ns,10ns   10ns,3 V ~ 5.5 V,-40°C ~ 105°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
